,latitud,provincia,altitud,indicativo,nombre,indsinop,longitud,latitud_dd,longitud_dd,codigo_postal
490,395645N,CACERES,269,3434X,NAVALMORAL DE LA MATA,08254,053457W,39.94583333333333,-53.75194444444445,
491,400640N,CACERES,690,3436D,GARGANTA LA OLLA,,054705W,40.111111111111114,-55.168055555555554,
492,394012N,CACERES,559,3455X,JARAICEJO,,054830W,39.669999999999995,-55.38333333333333,
493,392857N,CACERES,503,3463X,TRUJILLO,08263,055115W,39.4825,-55.18472222222222,
494,392751N,CACERES,523,3463Y,TRUJILLO,08263,055227W,39.46416666666667,-55.368611111111115,
495,392833N,CACERES,459,3469,"CÁCERES, CIUDAD",,062235W,39.475833333333334,-62.38472222222222,
496,392817N,CACERES,394,3469A,CÁCERES,08261,062020W,39.47138888888889,-62.03333333333333,
497,402429N,CACERES,470,3494U,NUÑOMORAL,,061423W,40.408055555555556,-61.700833333333335,
498,394726N,CACERES,373,3475X,CAÑAVERAL,,062235W,39.79055555555556,-62.38472222222222,
499,401122N,CACERES,393,3503,GUIJO DE GRANADILLA,,061003W,40.18944444444444,-61.00083333333333,
500,401531N,CACERES,991,3514B,TORNAVACAS,,054042W,40.25861111111111,-54.06722222222223,
501,400715N,CACERES,1260,3516X,PIORNAL,,054957W,40.12083333333334,-55.58527777777778,
502,401554N,CACERES,724,3504X,HERVÁS,,055140W,40.265,-55.233333333333334,
503,400451N,CACERES,351,3512X,MONTEHERMOSO,,062020W,40.08083333333334,-62.03333333333333,
504,401518N,CACERES,459,3531X,TORRECILLA DE LOS ANGELES,,062442W,40.255,-62.73388888888889,
505,395217N,CACERES,336,3540X,ZARZA LA MAYOR,,065136W,39.87138888888889,-65.21833333333333,
506,400013N,CACERES,313,3526X,CORIA,08251,063327W,40.00361111111111,-63.53527777777778,
507,401029N,CACERES,560,3536X,HOYOS,,064328W,40.17472222222222,-64.53555555555555,
508,400235N,CACERES,415,3519X,PLASENCIA,08252,060509W,40.043055555555554,-60.83583333333333,
509,385757N,ALBACETE,905,4007Y,OSSA DE MONTIEL,,024442W,38.965833333333336,-24.733888888888888,
510,401226N,CACERES,450,3547X,VALVERDE DEL FRESNO,,065346W,40.20722222222223,-65.56833333333333,
511,392539N,CACERES,321,3562X,ALISEDA,,064411W,39.427499999999995,-64.68361111111112,
512,392453N,CACERES,444,3576X,VALENCIA DE ALCÁNTARA,08260,071352W,39.414722222222224,-71.58388888888888,
513,393705N,CACERES,425,3565X,BROZAS,,064442W,39.61805555555556,-64.73388888888888,
514,392327N,CIUDAD REAL,640,4064Y,ALCAZAR DE SAN JUAN,,031257W,39.39083333333333,-31.41861111111111,
515,392931N,TOLEDO,690,4067,MADRIDEJOS,08273,033142W,39.49194444444444,-33.23388888888889,
516,400340N,CUENCA,875,4051Y,ALCÁZAR DEL REY,,024825W,40.06111111111111,-25.368055555555557,
517,393550N,TOLEDO,692,4061X,QUINTANAR DE LA ORDEN,08275,030254W,39.59722222222222,-30.41777777777778,
518,393101N,CUENCA,858,4089A,ALBERCA DE ZANCARA,,022945W,39.51694444444444,-23.568055555555556,
519,395025N,CUENCA,870,4075Y,VILLARES DEL SAZ,,023012W,39.84027777777778,-23.01722222222222,
520,391543N,ALBACETE,718,4091Y,VILLARROBLEDO,,023533W,39.261944444444445,-23.884166666666665,
521,400108N,CUENCA,1020,4070Y,ABIA DE OBISPALIA,,022343W,40.01888888888889,-22.5675,
522,392500N,CUENCA,728,4090Y,SAN CLEMENTE,08256,022514W,39.416666666666664,-22.851111111111113,
523,391009N,CIUDAD REAL,662,4103X,TOMELLOSO,08276,030027W,39.16916666666666,-30.03527777777778,
524,393319N,CUENCA,745,4095Y,BELMONTE,,024220W,39.555277777777775,-24.366666666666667,
525,390100N,ALBACETE,918,4096Y,MUNERA,,022920W,39.016666666666666,-23.533333333333335,
526,393922N,CUENCA,763,4093Y,OSA DE LA VEGA,,024536W,39.65611111111111,-24.884999999999998,
527,385916N,CIUDAD REAL,627,4121C,"CIUDAD REAL, INSTITUTO",,035545W,38.98777777777778,-35.90138888888889,
528,385921N,CIUDAD REAL,626,4121,CIUDAD REAL,08348,035513W,38.98916666666667,-35.850833333333334,
529,385703N,CIUDAD REAL,626,4116I,ALMAGRO / FAMET,08349,034431W,38.950833333333335,-34.716944444444444,
530,384415N,CIUDAD REAL,900,4138Y,VILLANUEVA DE LOS INFANTES,,030016W,38.737500000000004,-30.01833333333333,
531,384502N,CIUDAD REAL,700,4147X,VALDEPEÑAS,08351,032329W,38.75055555555556,-32.53583333333333,
532,391301N,CIUDAD REAL,587,4193Y,EL ROBLEDO,,041658W,39.216944444444444,-42.08555555555556,
533,392702N,CACERES,689,4236Y,PUERTO REY ,,050135W,39.45055555555556,-50.21805555555556,
534,383105N,CIUDAD REAL,804,4148,VISO DEL MARQUÉS,08345,033400W,38.518055555555556,-33.666666666666664,
535,391915N,CIUDAD REAL,651,4195E,"ALCORNOQUERA, PARQUE NACIONAL CABAÑEROS",,042342W,39.32083333333334,-42.56722222222223,
536,385353N,CIUDAD REAL,718,4210Y,ABENÓJAR,,041731W,38.89805555555556,-42.216944444444444,
537,390501N,CIUDAD REAL,531,4220X,PUEBLA DE DON RODRIGO,08271,043719W,39.08361111111111,-44.18583333333333,
538,392719N,CACERES,660,4245X,GUADALUPE,,051960W,39.45527777777778,-52.6,
539,382954N,CORDOBA,551,4267X,HINOJOSA DEL DUQUE,08335,050717W,38.498333333333335,-51.18527777777778,
540,382847N,BADAJOZ,542,4260,PERALEDA DEL ZAUCEJO,,053439W,38.47972222222222,-53.719166666666666,
541,382434N,CORDOBA,575,4263X,VALSEQUILLO,,052102W,38.409444444444446,-52.16722222222222,
542,391010N,BADAJOZ,447,4244X,HERRERA DEL DUQUE,08264,050344W,39.169444444444444,-50.56777777777778,
543,384431N,BADAJOZ,459,4325Y,CASTUERA,,053145W,38.74194444444444,-53.234722222222224,
544,391851N,CACERES,590,4339X,CAÑAMERO,,052208W,39.314166666666665,-52.33555555555556,
545,384631N,CIUDAD REAL,535,4300Y,ALMADÉN,,045043W,38.775277777777774,-45.0675,
546,390612N,BADAJOZ,313,4340,NAVALVILLAR DE PELA,,052741W,39.10333333333333,-53.23361111111111,
547,385720N,BADAJOZ,274,4358X,DON BENITO,08333,055250W,38.955555555555556,-55.416666666666664,
548,391658N,CACERES,413,4347X,ZORITA,,054237W,39.282777777777774,-54.38527777777778,
549,383435N,BADAJOZ,474,4362X,RETAMAL DE LLERENA,,055045W,38.57638888888889,-55.06805555555556,
550,385457N,BADAJOZ,228,4410X,MÉRIDA,08331,062308W,38.91583333333333,-62.50222222222222,
551,383306N,BADAJOZ,430,4395X,VILLAFRANCA DE LOS BARROS,,061824W,38.55166666666666,-62.367777777777775,
552,381354N,BADAJOZ,655,4386B,LLERENA,08336,060101W,38.23166666666667,-60.16694444444444,
553,382533N,BADAJOZ,433,4427X,ZAFRA,,062612W,38.42583333333333,-63.01722222222222,
554,384120N,BADAJOZ,371,4436Y,ALMENDRALEJO,,062140W,38.68888888888888,-62.233333333333334,
555,391151N,CACERES,467,4411C,ALCUESCAR,,061352W,39.1975,-61.58388888888889,
556,391036N,BADAJOZ,392,4468X,PUEBLA DE OBANDO,,063603W,39.17666666666666,-64.00083333333333,
557,391055N,BADAJOZ,283,4464X,ALBURQUERQUE,,065943W,39.18194444444444,-66.5675,
558,385300N,BADAJOZ,186,4452,BADAJOZ AEROPUERTO,08330,064850W,38.88333333333333,-65.41666666666667,
559,385310N,BADAJOZ,174,4478X,BADAJOZ,08329,070034W,38.88611111111111,-70.05111111111111,
560,382905N,BADAJOZ,170,4489X,ALCONCHEL,,071655W,38.484722222222224,-72.08472222222221,
561,384151N,BADAJOZ,275,4486X,OLIVENZA,,070504W,38.6975,-70.83444444444444,
562,380453N,BADAJOZ,771,4499X,MONESTERIO,,061619W,38.081388888888895,-62.01916666666666,
563,382822N,BADAJOZ,377,4492F,BARCARROTA,,065524W,38.47277777777778,-65.86777777777777,
564,381231N,BADAJOZ,602,4501X,FUENTE DE CANTOS,,061841W,38.20861111111111,-62.400277777777774,
565,382220N,BADAJOZ,247,4497X,VILLANUEVA DEL FRESNO,,070929W,38.37222222222222,-71.53583333333333,
566,381042N,BADAJOZ,586,4520X,FREGENAL DE LA SIERRA,,063942W,38.17833333333333,-64.56722222222221,
567,381755N,BADAJOZ,381,4511C,JEREZ DE LOS CABALLEROS,08337,064554W,38.29861111111111,-64.91777777777779,
568,375849N,HUELVA,267,4527X,AROCHE,,065833W,37.98027777777778,-66.38416666666667,
569,373313N,HUELVA,60,4541X,EL GRANADO,,073112W,37.55361111111111,-73.18388888888889,
570,371141N,HUELVA,3,4549Y,AYAMONTE,08381,072342W,37.19472222222222,-72.56722222222221,
571,371306N,HUELVA,15,4554X,CARTAYA,,070501W,37.218333333333334,-70.83361111111111,
572,375207N,HUELVA,572,4560Y,ALAJAR,08380,064030W,37.868611111111115,-64.05,
573,373552N,HUELVA,276,4589X,"ALOSNO, THARSIS",,070710W,37.59777777777778,-71.18333333333334,
574,374354N,HUELVA,270,4584X,EL CERRO DE ANDÉVALO,,065632W,37.73166666666667,-66.05055555555555,
575,373431N,HUELVA,280,4575X,VALVERDE DEL CAMINO,,064604W,37.57527777777778,-65.00111111111111,
576,372703N,HUELVA,145,4622X,VILLARRASA,,063812W,37.450833333333335,-64.35055555555554,
577,371524N,HUELVA,17,4605,HUELVA,,065659W,37.25666666666667,-66.08583333333333,
578,371642N,HUELVA,18,4642E,"HUELVA, RONDA ESTE",08383,065442W,37.27833333333333,-65.73388888888888,
579,355344N,CEUTA,200,5000A,"CEUTA, MONTE HACHO",,051732W,35.89555555555555,-52.217222222222226,
580,374038N,HUELVA,415,4608X,EL CAMPILLO,,063748W,37.67722222222222,-64.23555555555555,
581,375457N,JAEN,799,5038Y,CAZORLA,,030014W,37.91583333333333,-30.017777777777777,
582,375457N,JAEN,782,5038X,CAZORLA,08353,030014W,37.91583333333333,-30.017777777777777,
583,373021N,GRANADA,785,5047E,BAZA,08424,024406W,37.505833333333335,-24.668333333333333,
584,355319N,CEUTA,87,5000C,CEUTA,60320,052049W,35.88861111111111,-52.06916666666667,
585,371128N,GRANADA,1534,5103F,"CAMARATE, PARQUE NACIONAL SIERRA NEVADA",,031514W,37.191111111111105,-31.851111111111113,
586,371048N,GRANADA,1197,5107D,DÓLAR,,025911W,37.18,-26.516944444444444,
587,375141N,GRANADA,1100,5051X,HUÉSCAR,08423,023910W,37.86138888888889,-24.516666666666666,
588,370930N,GRANADA,2152,5103E,"CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA",,031525W,37.15833333333333,-31.868055555555557,
589,375139N,ALMERIA,1190,5060X,VÉLEZ BLANCO - TOPARES,,021341W,37.86083333333333,-21.566944444444445,
590,374651N,JAEN,910,5165X,TORRES,,033349W,37.780833333333334,-33.56916666666667,
591,382921N,JAEN,862,5192,VILLARRODRIGO,08354,023815W,38.48916666666667,-24.35138888888889,
592,375948N,JAEN,771,5164B,BAEZA,,032743W,37.99666666666667,-33.23416666666667,
593,381853N,JAEN,580,5181D,ARROYO DEL OJANCO,08352,025323W,38.31472222222222,-25.534166666666668,
594,381030N,JAEN,680,5210X,VILLANUEVA DEL ARZOBISPO,,025953W,38.175,-26.584166666666665,
595,380904N,JAEN,515,5279X,LINARES,,033746W,38.151111111111106,-34.235,
596,382040N,JAEN,770,5246,SANTA ELENA,08350,033207W,38.34444444444445,-33.33527777777778,
597,374635N,JAEN,510,5270,"JAÉN, INSTITUTO",,034720W,37.77638888888889,-35.2,
598,374639N,JAEN,580,5270B,JAÉN,08417,034833W,37.777499999999996,-35.384166666666665,
599,384008N,CIUDAD REAL,665,5304Y,PUERTOLLANO,,040333W,38.66888888888889,-40.55083333333333,
600,380535N,JAEN,345,5281X,BAILÉN,,034657W,38.09305555555556,-35.08527777777778,
601,380123N,JAEN,202,5298X,ANDÚJAR,08347,040348W,38.02305555555555,-40.56888888888889,
602,382544N,CIUDAD REAL,710,5341C,FUENCALIENTE,,041806W,38.428888888888885,-42.335,
603,381959N,CORDOBA,750,5390Y,VILLANUEVA DE CÓRDOBA,08346,043632W,38.33305555555556,-44.050555555555555,
604,381112N,CORDOBA,720,5346X,CARDEÑA,,041621W,38.18666666666666,-42.03361111111111,
605,380048N,CORDOBA,155,5361X,MONTORO,,041949W,38.013333333333335,-42.56916666666667,
606,380115N,CORDOBA,525,5394X,"CÓRDOBA, EMBALSE DE GUADANUÑO",,044748W,38.020833333333336,-45.23555555555556,
607,372951N,JAEN,908,5406X,ALCALÁ LA REAL,,035429W,37.4975,-35.7025,
608,373322N,CORDOBA,650,5427X,DOÑA MENCÍA,08412,042114W,37.55611111111111,-42.18444444444444,
609,372905N,CORDOBA,550,5412X,PRIEGO DE CÓRDOBA,,041228W,37.484722222222224,-41.36888888888889,
610,375056N,CORDOBA,90,5402,CÓRDOBA AEROPUERTO,08410,045048W,37.848888888888894,-45.06888888888889,
611,381604N,BADAJOZ,581,5473X,AZUAGA,,054110W,38.26777777777777,-54.18333333333333,
612,370352N,GRANADA,3092,5511,"PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA",,032217W,37.06444444444444,-32.35194444444445,
613,374511N,CORDOBA,120,5470,FUENTE PALMERA,,050602W,37.753055555555555,-51.00055555555556,
614,374837N,CORDOBA,275,5429X,"CÓRDOBA, PRÁGDENA",,042744W,37.81027777777778,-43.23444444444444,
615,380640N,CORDOBA,465,5459X,ESPIEL,,045543W,38.111111111111114,-45.90083333333333,
616,371123N,GRANADA,775,5515X,GRANADA-CARTUJA,,033544W,37.189722222222215,-33.901111111111106,
617,370814N,GRANADA,687,5514,GRANADA BASE AÉREA,08420,033753W,37.13722222222222,-34.25083333333333,
618,370347N,GRANADA,2856,5516D,SIERRA NEVADA 'RADIOTELESCOPIO',08980,032313W,37.06305555555555,-32.5175,
619,370810N,GRANADA,695,5514Z,GRANADA BASE AÉREA,08420,033800W,37.13611111111111,-34.333333333333336,
620,371413N,GRANADA,1258,5515D,VÍZNAR,08421,033302W,37.23694444444445,-33.50055555555556,
621,371125N,GRANADA,560,5530E,GRANADA AEROPUERTO,08419,034723W,37.19027777777777,-35.200833333333335,
622,370940N,GRANADA,760,5582A,LOJA,08414,040910W,37.16111111111111,-41.516666666666666,
623,371351N,CORDOBA,465,5598X,BENAMEJÍ,,043252W,37.23083333333334,-43.41722222222222,
624,371140N,SEVILLA,410,5612B,LA RODA DE ANDALUCÍA,08399,044612W,37.19444444444444,-45.01722222222222,
625,371613N,SEVILLA,450,5612X,LORA DE ESTEPA,,044937W,37.27027777777778,-45.551944444444445,
626,372855N,CORDOBA,309,5624X,AGUILAR DE LA FRONTERA,,044109W,37.481944444444444,-44.16916666666666,
627,374712N,SEVILLA,200,5654X,LA PUEBLA DE LOS INFANTES,,052216W,37.78666666666666,-52.35166666666667,
628,373819N,CORDOBA,200,5625X,LA RAMBLA,,044550W,37.63861111111111,-44.916666666666664,
629,373058N,SEVILLA,130,5641X,ÉCIJA,08395,050506W,37.51611111111111,-50.835,
630,372950N,SEVILLA,165,5656,FUENTES DE ANDALUCÍA,,052559W,37.49722222222222,-52.91916666666666,
631,373356N,SEVILLA,50,5702X,CARMONA,,054426W,37.565555555555555,-54.70166666666667,
632,375535N,SEVILLA,550,5704B,CAZALLA DE LA SIERRA,08392,054611W,37.92638888888889,-55.01694444444444,
633,380558N,SEVILLA,720,5726X,GUADALCANAL,,054909W,38.099444444444444,-55.5025,
634,372500N,SEVILLA,34,5783,SEVILLA AEROPUERTO,08391,055245W,37.416666666666664,-55.40138888888889,
635,374728N,SEVILLA,450,5733X,ALMADÉN DE LA PLATA,,060430W,37.79111111111111,-60.71666666666667,
636,375825N,HUELVA,618,5769X,CALA,,061920W,37.97361111111111,-62.53333333333333,
637,370952N,SEVILLA,87,5796,MORÓN DE LA FRONTERA,08397,053641W,37.16444444444444,-54.066944444444445,
638,372151N,SEVILLA,9,5790Y,"SEVILLA, TABLADA",,060021W,37.36416666666667,-60.03361111111111,
639,372142N,SEVILLA,84,5788X,"TOMARES, ZAUDÍN",,060335W,37.361666666666665,-60.55138888888889,
640,370553N,HUELVA,41,5860E,"MOGUER, EL ARENOSILLO",08384,064417W,37.09805555555556,-64.68527777777778,
641,365919N,HUELVA,5,5858X,ALMONTE,,062635W,36.98861111111111,-63.05138888888889,
642,365712N,SEVILLA,105,5891X,LAS CABEZAS DE SAN JUAN,,055048W,36.95333333333333,-55.06888888888889,
643,372136N,SEVILLA,76,5835X,CARRIÓN DE LOS CÉSPEDES,,062003W,37.36,-62.00083333333333,
644,364538N,CADIZ,913,5911A,GRAZALEMA,08455,052227W,36.760555555555555,-52.368611111111115,
645,364500N,CADIZ,10,5906X,CHIPIONA,,062402W,36.75,-62.66722222222222,
646,363820N,CADIZ,21,5910,"ROTA, BASE NAVAL",08449,061957W,36.638888888888886,-62.58527777777778,
647,364346N,CADIZ,295,5941X,EL BOSQUE,,053044W,36.72944444444445,-53.06777777777778,
648,365554N,CADIZ,530,5919X,OLVERA,,051534W,36.931666666666665,-51.88444444444444,
649,362959N,CADIZ,2,5973,CÁDIZ,08452,061528W,36.499722222222225,-61.86888888888889,
650,364502N,CADIZ,27,5960,JEREZ DE LA FRONTERA AEROPUERTO,08451,060321W,36.75055555555556,-60.53361111111111,
651,363950N,CADIZ,105,5950X,SAN JOSÉ DEL VALLE,,054660W,36.663888888888884,-55.1,
652,362756N,CADIZ,28,5972X,SAN FERNANDO,08453,061220W,36.46555555555556,-61.36666666666667,
653,361105N,CADIZ,4,5996B,BARBATE,,055434W,36.18472222222222,-55.717777777777776,
654,371436N,SEVILLA,255,5998X,OSUNA,,050645W,37.24333333333333,-51.06805555555556,
655,361444N,CADIZ,186,5995B,VEJER DE LA FRONTERA,08457,055754W,36.245555555555555,-56.25111111111111,
656,362422N,CADIZ,70,5983X,MEDINA SIDONIA,,055513W,36.40611111111111,-55.850833333333334,
657,364460N,MALAGA,760,6032X,RONDA INSTITUTO,,051007W,36.75,-51.00194444444445,
658,364459N,MALAGA,766,6032B,RONDA,08443,051006W,36.749722222222225,-51.001666666666665,
659,360050N,CADIZ,32,6001,TARIFA,08458,053556W,36.013888888888886,-53.91833333333333,
660,351635N,MELILLA,52,6000A,MELILLA,60338,025723W,35.27638888888889,-26.200833333333332,
661,363240N,MALAGA,315,6040X,CORTES DE LA FRONTERA,,052311W,36.544444444444444,-52.51694444444444,
662,363107N,MALAGA,594,6050X,GAUCÍN,,051907W,36.51861111111111,-52.50194444444445,
663,363757N,MALAGA,676,6045X,ALPANDEIRE,,051211W,36.6325,-51.35027777777778,
664,362608N,CADIZ,42,6042I,JIMENA DE LA FRONTERA,,052342W,36.43555555555555,-52.56722222222223,
665,362904N,MALAGA,2,6076X,"MARBELLA, PUERTO",,045711W,36.48444444444444,-46.183611111111105,
666,362242N,MALAGA,140,6057X,MANILVA,,051536W,36.37833333333333,-51.885,
667,363237N,MALAGA,392,6069X,BENAHAVÍS,,050129W,36.54361111111111,-50.2025,
668,361623N,CADIZ,1,6056X,SAN ROQUE  ,,051704W,36.27305555555555,-52.16777777777777,
669,362501N,MALAGA,19,6058I,ESTEPONA,08463,050918W,36.41694444444444,-51.51888888888889,
670,363714N,MALAGA,85,6088X,TORREMOLINOS,,043054W,36.620555555555555,-43.08444444444444,
671,363219N,MALAGA,8,6084X,FUENGIROLA,08480,043706W,36.53861111111111,-44.16833333333333,
672,362860N,MALAGA,2,6083X,MARBELLA,,044425W,36.483333333333334,-44.70138888888889,
673,370126N,MALAGA,515,6100B,ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES),,043345W,37.02388888888889,-43.56805555555556,
674,370146N,MALAGA,408,6106X,ANTEQUERA,08413,044454W,37.029444444444444,-44.75111111111111,
675,363958N,MALAGA,7,6155A,MÁLAGA AEROPUERTO,08482,042856W,36.66611111111111,-43.41833333333333,
676,365117N,MALAGA,172,6127X,ÁLORA,,044148W,36.85472222222222,-44.23555555555556,
677,363928N,MALAGA,230,6143X,COÍN,,044539W,36.657777777777774,-44.88583333333333,
678,364304N,MALAGA,54,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",08481,042854W,36.717777777777776,-43.41777777777777,
679,364254N,MALAGA,7,6175X,RINCÓN DE LA VICTORIA,,041710W,36.715,-42.18333333333333,
680,364260N,MALAGA,25,6172O,"MÁLAGA, PUERTO",08479,042511W,36.71666666666667,-42.85027777777778,
681,364260N,MALAGA,25,6172X,MÁLAGA,,042511W,36.71666666666667,-42.85027777777778,
682,364521N,MALAGA,35,6201X,ALGARROBO,,040238W,36.755833333333335,-40.385555555555555,
683,364335N,MALAGA,3,6205X,TORROX,08484,035726W,36.72638888888889,-36.20166666666667,
684,364546N,MALAGA,169,6213X,NERJA,,035043W,36.76277777777778,-35.0675,
685,364607N,MALAGA,41,6199X,VÉLEZ-MÁLAGA,,040537W,36.76861111111111,-40.88527777777778,
686,364322N,GRANADA,12,6268X,MOTRIL,08485,033149W,36.72277777777778,-33.23583333333333,
687,365523N,GRANADA,708,6258X,LANJARÓN,,032933W,36.92305555555555,-33.55083333333333,
688,364454N,GRANADA,20,6267X,SALOBREÑA,,033443W,36.748333333333335,-33.73416666666667,
689,365708N,GRANADA,1732,6248D,"CAÑAR, PARQUE NACIONAL SIERRA NEVADA",,032549W,36.952222222222225,-32.902499999999996,
690,370019N,GRANADA,1020,6281X,VÁLOR,,030417W,37.00527777777778,-30.685277777777777,
691,364629N,ALMERIA,98,6291B,EL EJIDO,,024847W,36.77472222222222,-25.401944444444442,
692,364403N,GRANADA,235,6272X,CASTELL DE FERRO,,032248W,36.73416666666667,-32.40222222222222,
693,364450N,ALMERIA,8,6277B,ADRA,08486,030114W,36.74722222222222,-30.184444444444445,
694,364326N,GRANADA,3,6268Y,"MOTRIL, PUERTO",,033145W,36.723888888888894,-33.234722222222224,
695,370545N,GRANADA,2300,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",,025752W,37.09583333333334,-26.250555555555554,
696,364952N,ALMERIA,7,6297,ALMERÍA,,022720W,36.83111111111111,-23.2,
697,364113N,ALMERIA,3,6293X,ROQUETAS DE MAR,08492,024206W,36.68694444444444,-24.334999999999997,
698,370311N,ALMERIA,1713,6307C,"LAÚJAR, PARQUE NACIONAL SIERRA NEVADA",,025350W,37.05305555555555,-25.583333333333332,
699,370829N,ALMERIA,869,6302A,ABLA,08427,024648W,37.14138888888889,-25.06888888888889,
700,370160N,ALMERIA,1510,6307X,LÁUJAR DE ANDARAX,,025445W,37.03333333333333,-25.734722222222224,
701,364319N,ALMERIA,42,6329X,CABO DE GATA,,021135W,36.721944444444446,-21.218055555555555,
702,370115N,ALMERIA,601,6312E,"RÁGOL, PARQUE NACIONAL SIERRA NEVADA",,024038W,37.020833333333336,-24.052222222222223,
703,365849N,ALMERIA,16,6332X,CARBONERAS,08488,015413W,36.98027777777778,-15.684166666666666,
704,365047N,ALMERIA,21,6325O,ALMERÍA AEROPUERTO,08487,022125W,36.84638888888889,-22.20138888888889,
705,365632N,ALMERIA,222,6332Y,CARBONERAS,08488,015425W,36.94222222222222,-15.701388888888888,
706,370636N,ALMERIA,970,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",,024157W,37.11,-24.251944444444444,
707,371009N,ALMERIA,28,6340X,GARRUCHA,,014943W,37.16916666666666,-15.567499999999999,
708,372424N,ALMERIA,508,6364X,ALBOX,,020905W,37.406666666666666,-21.50138888888889,
709,355618N,ALMERIA,15,6381,ALBORÁN,08490,030210W,35.93833333333333,-30.35,
710,372326N,ALMERIA,300,6367B,HUÉRCAL-OVERA,08428,015637W,37.39055555555556,-16.051944444444445,
711,372502N,MURCIA,32,7002Y,ÁGUILAS,08432,013513W,37.41722222222222,-13.850833333333332,
712,370756N,MALAGA,420,6375X,FUENTE DE PIEDRA,,044431W,37.132222222222225,-44.716944444444444,
713,373809N,MURCIA,3,7019X,CARTAGENA/SALINAS CABO PALOS,,004256W,37.63583333333333,-4.418333333333334,
714,373604N,MURCIA,17,7012C,CARTAGENA,08434,005916W,37.60111111111111,-6.5183333333333335,
715,373616N,MURCIA,56,7012D,CARTAGENA,08434,010124W,37.60444444444445,-10.20111111111111,
716,373517N,MURCIA,66,7007Y,MAZARRÓN,,011350W,37.588055555555556,-11.583333333333334,
717,374827N,MURCIA,205,7020C,MURCIA AEROPUERTO,,010741W,37.8075,-11.233611111111111,
718,374642N,MURCIA,4,7031X,SAN JAVIER AEROPUERTO,08433,004821W,37.77833333333333,-5.366944444444445,
719,374335N,MURCIA,140,7023X,FUENTE ÁLAMO DE MURCIA,,011002W,37.72638888888889,-11.000555555555556,
720,374720N,MURCIA,4,7031,SAN JAVIER AEROPUERTO,08433,004812W,37.788888888888884,-5.350555555555555,
721,382336N,ALBACETE,680,7066Y,"YESTE, EMBALSE FUENSANTA",,021308W,38.39333333333333,-21.502222222222223,
722,374420N,MURCIA,50,7026X,TORRE-PACHECO,,005803W,37.73888888888889,-6.3341666666666665,
723,381606N,MURCIA,955,7080X,MORATALLA,,015911W,38.26833333333333,-16.516944444444444,
724,381742N,ALBACETE,960,7072Y,YESTE,,021738W,38.294999999999995,-22.218888888888888,
725,380518N,ALBACETE,1485,7067Y,NERPIO,,022447W,38.08833333333334,-22.735277777777778,
726,383231N,ALBACETE,605,7096B,HELLÍN,08355,014211W,38.54194444444444,-14.350277777777777,
727,380257N,MURCIA,690,7127X,BULLAS,,014143W,38.049166666666665,-14.234166666666665,
728,383517N,ALBACETE,615,7103Y,TOBARRA,,014122W,38.588055555555556,-14.200555555555555,
729,380611N,MURCIA,643,7119B,CARAVACA DE LA CRUZ,08365,015238W,38.10305555555556,-15.385555555555555,
730,382732N,MURCIA,485,7138B,JUMILLA,,012007W,38.45888888888889,-12.001944444444444,
731,381403N,MURCIA,350,7121A,CALASPARRA,,014208W,38.23416666666667,-14.335555555555556,
732,381358N,MURCIA,265,7145D,CIEZA,08363,012250W,38.23277777777778,-12.416666666666666,
733,375534N,MURCIA,985,7195X,"CARAVACA DE LA CRUZ, LOS ROYOS",,020330W,37.92611111111111,-20.55,
734,380229N,MURCIA,255,7172X,MULA,,012657W,38.04138888888889,-13.085277777777778,
735,380741N,MURCIA,150,7158X,ARCHENA,,011821W,38.128055555555555,-12.366944444444444,
736,380007N,MURCIA,62,7178I,MURCIA,08430,011015W,38.00194444444445,-11.018055555555556,
737,375041N,MURCIA,646,7203A,"LORCA, ZARCILLA DE RAMOS",,015211W,37.844722222222224,-15.350277777777777,
738,373917N,MURCIA,312,7209,LORCA,08426,014114W,37.65472222222222,-14.184444444444445,
739,373405N,MURCIA,445,7211B,PUERTO LUMBRERAS,,014750W,37.56805555555556,-15.25,
740,374531N,MURCIA,281,7218Y,TOTANA,,013046W,37.75861111111111,-13.068333333333333,
741,375728N,MURCIA,75,7228,"ALCANTARILLA, BASE AÉREA",08429,011343W,37.95777777777778,-11.567499999999999,
742,380404N,ALICANTE,26,7244X,ORIHUELA,,005853W,38.06777777777778,-6.4175,
743,380820N,MURCIA,170,7237E,MOLINA DE SEGURA,,010931W,38.138888888888886,-11.550277777777778,
744,375142N,MURCIA,157,7227X,ALHAMA DE MURCIA,,012005W,37.861666666666665,-12.001388888888888,
745,382359N,ALICANTE,575,7247X,EL PINÓS/PINOSO,08357,010217W,38.39972222222222,-10.351944444444444,
746,381140N,MURCIA,174,7250C,ABANILLA,,010202W,38.19444444444444,-10.33388888888889,
747,380517N,ALICANTE,31,7261X,ROJALES,08367,004255W,38.088055555555556,-4.418055555555556,
748,383606N,MURCIA,640,7275C,YECLA,08356,010935W,38.60166666666667,-11.551388888888889,
